Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant Price,Variant SKU,Variant Inventory Tracker,Variant Inventory Qty,Variant Weight,Variant Weight Unit,Image Src,metafields.wine.varietal,metafields.wine.vintage,metafields.wine.appellation,metafields.wine.region,metafields.wine.country_state,metafields.wine.abv,metafields.wine.body,metafields.wine.style,metafields.wine.tasting_notes,metafields.rating.expert_rating,metafields.rating.customer_rating,metafields.rating.review_count,metafields.wine.mix_6_price,metafields.general.source_url,metafields.wine.size,metafields.wine.wine_type
tenuta-di-renieri-chianti-classico-riserva-2020,"Tenuta di Renieri Chianti Classico Riserva, 2020","James Suckling-Tuscany, Italy - A poised and focused Chianti Classico Riserva with black cherry, subtle sage and bark aromas and flavors. Medium-bodied with juicy fruit, firm tannins and a fresh finish. Bright and vivid at the end.",Tenuta di Renieri,Wine,Red Wine,"Sangiovese, Red Wine, Tuscany, Chianti Classico",TRUE,Title,Default Title,22.99,113708750-1,shopify,100,1.5,lb,,Sangiovese,2020,Chianti Classico,Tuscany,Italy,14.5,Full-bodied,Elegant,"Anise, Cherry",93 • James Suckling,4.2/5,165,$20.69,https://www.totalwine.com/wine/red-wine/sangiovese/tenuta-di-renieri-chianti-classico-riserva/p/113708750,750ml,Red Wine
1858-by-caymus-vineyards-cabernet-sauvignon-paso-robles,1858 by Caymus Vineyards Cabernet Sauvignon Paso Robles,"Paso Robles, CA- From Caymus Vineyards. Black cherry and plum hit the front of the palate. Baking spice, with touches of vanilla and oak accompany the fruit while adding layers of complexity. Balanced with light acidity and fine tannins on the finish.",1858 by Caymus Vineyards,Wine,Red Wine,"Cabernet Sauvignon, Red Wine, Central Coast, Paso Robles",TRUE,Title,Default Title,39.99,214578750-1,shopify,100,1.5,lb,,Cabernet Sauvignon,,Paso Robles,Central Coast,California,13.8,Full-bodied,Intense,"Black Cherry, Plum, Spice",No rating listed,4.4/5,1645,$35.99,https://www.totalwine.com/wine/red-wine/cabernet-sauvignon/1858-by-caymus-vineyards-cabernet-sauvignon-paso-robles/p/214578750,750ml,Red Wine
ed-edmundo-malbec-2023,"Ed Edmundo Malbec, 2023",Argentina- This Malbec has sweet aromas of blackberries and plums with an elegant touch of smoke and vanilla. Velvety texture and a sweet long aftertaste. Pairs well with grilled meats and seasoned cuisines.,Ed Edmundo,Wine,Red Wine,"Malbec, Red Wine, Mendoza, Unknown",TRUE,Title,Default Title,10.99,235698750-1,shopify,100,1.5,lb,,Malbec,2023,Unknown,Mendoza,Argentina,14.5,Medium-bodied,Elegant,"Blackberry, Plum, Vanilla",No rating listed,4.4/5,183,$9.89,https://www.totalwine.com/wine/red-wine/malbec/ed-edmundo-malbec/p/235698750,750ml,Red Wine
ed-edmundo-cabernet-sauvignon-2024,"Ed Edmundo Cabernet Sauvignon, 2024","The Tasting Panel-Argentina - Mendoza - The hearty tannins on this Cabernet linger, animated with a fruity veneer of dark ripe raspberries, plum and black cherries. A burst of flavors emerges, including tobacco leaf, plush leather, and a gentle hint of clove.",Ed Edmundo,Wine,Red Wine,"Cabernet Sauvignon, Red Wine, Mendoza, Unknown",TRUE,Title,Default Title,11.99,213639750-1,shopify,100,1.5,lb,,Cabernet Sauvignon,2024,Unknown,Mendoza,Argentina,14.5,Full-bodied,Elegant,"Dried Cherry, Black Currant, Vanilla",90 • The Tasting Panel,4.4/5,1721,$10.79,https://www.totalwine.com/wine/red-wine/cabernet-sauvignon/ed-edmundo-cabernet-sauvignon/p/213639750,750ml,Red Wine
caymus-cabernet-sauvignon-napa-50th-anniversary-2022,"Caymus Cabernet Sauvignon Napa 50th Anniversary, 2022","Wine Spectator-California - Napa Valley - A creamy, forward style, with a core of warmed raspberry and boysenberry preserves infused liberally with mocha and melted licorice. Shows a late flicker of chaparral. This is meant for near-term hedonism. Drink now through 2034.",Caymus,Wine,Red Wine,"Cabernet Sauvignon, Red Wine, Napa Valley, Napa Valley",TRUE,Title,Default Title,74.97,2126249225-1,shopify,100,1.5,lb,,Cabernet Sauvignon,2022,Napa Valley,Napa Valley,California,0.0,Full-bodied,Fresh,"Dark Fruit, Oak, Vanilla",91 • Wine Spectator,4.4/5,127,No bulk pricing,https://www.totalwine.com/wine/red-wine/cabernet-sauvignon/caymus-cabernet-sauvignon-napa-50th-anniversary/p/2126249225,750ml,Red Wine
st-giorgio-toscana-igt-super-tuscan-2019,"St. Giorgio Toscana IGT Super Tuscan, 2019","James Suckling-Tuscany, Italy - I like the creamy and spicy edge to the red fruit, coming from a well-judged use of oak. Medium-bodied with a nice line of red fruit and lightly firm tannins flowing through the finish. Twist of vanilla at the end from the mild oak.",St. Giorgio,Wine,Red Wine,"Red Blend, Red Wine, Tuscany, Toscana IGT",TRUE,Title,Default Title,14.99,349664750-1,shopify,100,1.5,lb,,Red Blend,2019,Toscana IGT,Tuscany,Italy,13.5,Full-bodied,Intense,"Dark Fruit, Cherry",91 • James Suckling,4.2/5,294,$13.49,https://www.totalwine.com/wine/red-wine/red-blend/st-giorgio-toscana-igt-super-tuscan/p/349664750,750ml,Red Wine
caliveda-pinot-noir-2022,"Caliveda Pinot Noir, 2022","Beverage Dynamics-California - Bursting with flavor on the palate, this pinot has medium purple color with notes of juicy black cherry and pomegranate cola, rounded out with an enticing vanilla note.",Caliveda,Wine,Red Wine,"Pinot Noir, Red Wine, California, Unknown",TRUE,Title,Default Title,14.99,347421750-1,shopify,100,1.5,lb,,Pinot Noir,2022,Unknown,California,California,13.5,Medium-bodied,Elegant,"Dark Berry, Vanilla, Black Cherry",91 • Beverage Dynamics,4.2/5,2149,$13.49,https://www.totalwine.com/wine/red-wine/pinot-noir/caliveda-pinot-noir/p/347421750,750ml,Red Wine
1858-by-caymus-vineyards-red-blend,1858 by Caymus Vineyards Red Blend,"Beverage Dynamics-California - Made by Caymus Vineyards. A dark maroon color greets you upon pouring this plush wine. Baked black and blue fruits, warm spice, and sumptuous but soft tannins and toasted wood on the finish. This is a smooth but structured, approachable wine from the Wagner Family.",1858 by Caymus Vineyards,Wine,Red Wine,"Red Blend, Red Wine, California, Unknown",TRUE,Title,Default Title,24.99,232279750-1,shopify,100,1.5,lb,,Red Blend,,Unknown,California,California,14.2,Medium-bodied,Elegant,"Black Cherry, Chocolate",91 • Beverage Dynamics,4.5/5,1091,$22.49,https://www.totalwine.com/wine/red-wine/red-blend/1858-by-caymus-vineyards-red-blend/p/232279750,750ml,Red Wine
pazzia-primitivo-puglia-igp-2022,"Pazzia Primitivo Puglia IGP, 2022","Luca Maroni-Italy - Apulia - The softness and pleasantness of the combination between fruit and spices on the palate make the sensory expressions of this wine powerful and harmonious. A wine characterized by majestic abundance, strength and pleasing aromas...",Pazzia,Wine,Red Wine,"Primitivo, Red Wine, Apulia, Puglia IGP",TRUE,Title,Default Title,14.99,2126217744-1,shopify,100,1.5,lb,,Primitivo,2022,Puglia IGP,Apulia,Italy,13.5,Full-bodied,Elegant,"Cherry, Dark Fruit, Pepper",94 • Luca Maroni,4.3/5,84,$13.49,https://www.totalwine.com/wine/red-wine/primitivo/pazzia-primitivo-puglia-igp/p/2126217744,750ml,Red Wine
olema-cabernet-sauvignon-sonoma-county-2023,"Olema Cabernet Sauvignon Sonoma County, 2023","James Suckling-California - Sonoma County - Wow, so fresh, flavorful and drinkable despite intense concentration and moderate to full tannins. A great value and very well balanced. Sourced from very good sites on Moon Mountain, Sonoma Mountain and Dry Creek Valley. Blended with 12% malbec.",Olema,Wine,Red Wine,"Cabernet Sauvignon, Red Wine, Sonoma County, Sonoma County",TRUE,Title,Default Title,29.99,101019750-1,shopify,100,1.5,lb,,Cabernet Sauvignon,2023,Sonoma County,Sonoma County,California,13.7,Full-bodied,Intense,"Blackberry, Cherry, Sage",92 • James Suckling,4.3/5,528,$26.99,https://www.totalwine.com/wine/red-wine/cabernet-sauvignon/olema-cabernet-sauvignon-sonoma-county/p/101019750,750ml,Red Wine
